Actual_DO,Predicted_DO
8.5,5.009305059523818
9.6,10.133588364261739
3.7,8.913541666666669
7.4,9.006148829030069
3.3,1.4219833333333312
8.8,9.212126000331672
11.6,7.732513455988435
3.9,3.0407999999999977
10.2,9.14852270741439
3.3,6.640814285714284
3.3,3.997099999999997
2.43,4.333199999999997
6.446383749,6.446383749000005
3.3,6.726049999999994
11.9,7.666102619047612
8.3,8.73873779610102
10.1,4.804325701324876
4.03,3.741779166666662
7.3,10.072778393304858
80.8,7.941763347255814
1.2,2.9632500000000004
9.8,6.902250000000005
3.7,3.922187603368853
5.6,9.521750000000004
8.7,6.291563343513732
4.3,3.8184285596348104
6.446383749,6.446383749000005
10.9,7.498356616300368
3.3,4.1023892246642255
8.45,3.540839054834054
9.6,4.564780871212122
3.8,9.492867135642136
11.8,12.079943749999993
8.6,8.933600262562788
1.2,6.291563343513732
4.9,4.13365873015874
3.2,5.388499999999996
2.5,8.933600262562788
10.5,10.144361671535808
10.2,7.15349166666668
8.4,9.216362992701743
3.4,3.1009499999999988
9.6,9.38168769126591
8.4,9.935974137068875
8.4,4.923259761904765
4.0,4.03801877263818
7.1,9.38168769126591
3.8,2.752383333333334
9.75,10.670666666666694
9.05,7.225093055555557
9.3,3.8006250355200337
3.01,6.589446130952391
3.2,4.321987500000004
4.2,3.7366220238095185
3.47,7.569550422608436
2.4,3.6475238095238076
10.2,10.133588364261739
7.5,6.5365061204123585
9.2,9.006148829030069
8.7,8.933600262562788
10.8,9.013547744189527
3.7,8.295483333333323
3.9,3.2295367063492035
1.8,10.664050000000008
9.0,8.677899156725632
3.9,3.516501190476194
9.0,9.14852270741439
6.1,6.076799999999997
4.3,5.93235000000001
14.4,4.9663973709600775
11.15,6.05505
